year,global_avg_temp,city_avg_temp
1750,8.72,6.29
1751,7.98,6.84
1752,5.78,-1.10
1753,8.39,5.76
1754,8.47,5.94
1755,8.36,2.81
1756,8.85,6.37
1757,9.02,5.13
1758,6.74,4.37
1759,7.99,5.27
1760,7.19,3.74
1761,8.77,6.25
1762,8.61,5.79
1763,7.50,3.32
1764,8.40,5.76
1765,8.25,5.14
1766,8.41,6.27
1767,8.22,4.74
1768,6.78,4.81
1769,7.69,5.44
1770,7.69,5.35
1771,7.85,6.23
1772,8.19,5.93
1773,8.22,6.22
1774,8.77,5.64
1775,9.18,6.64
1776,8.30,5.69
1777,8.26,5.23
1778,8.54,3.18
1779,8.98,6.10
1780,9.43,8.70
1781,8.10,5.96
1782,7.90,5.39
1783,7.68,5.11
1784,7.86,4.90
1785,7.36,4.83
1786,8.26,5.35
1787,8.03,5.37
1788,8.45,6.00
1789,8.33,5.70
1790,7.98,5.64
1791,8.23,5.72
1792,8.09,5.15
1793,8.23,6.02
1794,8.53,6.05
1795,8.35,5.60
1796,8.27,5.48
1797,8.51,5.21
1798,8.67,6.03
1799,8.51,5.62
1800,8.48,5.85
1801,8.59,6.23
1802,8.58,6.46
1803,8.50,6.23
1804,8.84,6.02
1805,8.56,6.49
1806,8.43,5.70
1807,8.28,5.49
1808,7.63,5.66
1809,7.08,4.90
1810,6.92,5.24
1811,6.86,5.38
1812,7.05,3.97
1813,7.74,5.31
1814,7.59,5.16
1815,7.24,4.52
1816,6.94,4.00
1817,6.98,4.12
1818,7.83,4.84
1819,7.37,5.07
1820,7.62,5.08
1821,8.09,4.88
1822,8.19,5.64
1823,7.72,4.86
1824,8.55,5.38
1825,8.39,6.46
1826,8.36,6.23
1827,8.81,6.03
1828,8.17,6.82
1829,7.94,5.46
1830,8.52,6.23
1831,7.64,4.96
1832,7.45,5.90
1833,8.01,5.88
1834,8.15,6.16
1835,7.39,5.11
1836,7.70,4.27
1837,7.38,4.89
1838,7.51,4.48
1839,7.63,5.62
1840,7.80,5.88
1841,7.69,5.33
1842,8.02,5.75
1843,8.17,4.81
1844,7.65,5.80
1845,7.85,5.81
1846,8.55,6.47
1847,8.09,5.11
1848,7.98,5.68
1849,7.98,5.18
1850,7.90,5.45
1851,8.18,5.45
1852,8.10,5.27
1853,8.04,5.70
1854,8.21,5.90
1855,8.11,5.16
1856,8.00,4.26
1857,7.76,4.64
1858,8.10,5.93
1859,8.25,5.54
1860,7.96,5.58
1861,7.85,5.45
1862,7.56,5.21
1863,8.11,5.36
1864,7.98,5.47
1865,8.18,5.70
1866,8.29,4.88
1867,8.44,5.11
1868,8.25,4.59
1869,8.43,4.74
1870,8.20,6.22
1871,8.12,5.26
1872,8.19,4.83
1873,8.35,4.64
1874,8.43,5.47
1875,7.86,3.47
1876,8.08,5.41
1877,8.54,6.48
1878,8.83,7.15
1879,8.17,5.36
1880,8.12,6.19
1881,8.27,6.31
1882,8.13,5.97
1883,7.98,4.06
1884,7.77,5.29
1885,7.92,3.83
1886,7.95,5.17
1887,7.91,5.30
1888,8.09,4.39
1889,8.32,5.96
1890,7.97,5.71
1891,8.02,6.28
1892,8.07,5.40
1893,8.06,4.83
1894,8.16,6.64
1895,8.15,5.12
1896,8.21,5.75
1897,8.29,5.89
1898,8.18,6.59
1899,8.40,5.70
1900,8.50,6.47
1901,8.54,5.70
1902,8.30,5.80
1903,8.22,5.79
1904,8.09,3.85
1905,8.23,5.21
1906,8.38,6.19
1907,7.95,4.83
1908,8.19,6.22
1909,8.18,5.83
1910,8.22,5.77
1911,8.18,6.43
1912,8.17,4.82
1913,8.30,6.68
1914,8.59,5.59
1915,8.59,6.00
1916,8.23,5.89
1917,8.02,3.91
1918,8.13,5.57
1919,8.38,6.54
1920,8.36,5.24
1921,8.57,7.75
1922,8.41,6.50
1923,8.42,5.49
1924,8.51,4.86
1925,8.53,5.63
1926,8.73,4.34
1927,8.52,6.10
1928,8.63,5.86
1929,8.24,5.47
1930,8.63,6.44
1931,8.72,7.56
1932,8.71,6.62
1933,8.34,6.66
1934,8.63,5.44
1935,8.52,5.60
1936,8.55,5.55
1937,8.70,6.32
1938,8.86,6.91
1939,8.76,6.14
1940,8.76,5.06
1941,8.77,6.68
1942,8.73,6.26
1943,8.76,5.19
1944,8.85,6.49
1945,8.58,5.90
1946,8.68,6.90
1947,8.80,6.18
1948,8.75,6.38
1949,8.59,7.31
1950,8.37,5.64
1951,8.63,6.26
1952,8.64,7.01
1953,8.87,7.51
1954,8.56,6.24
1955,8.63,6.97
1956,8.28,5.75
1957,8.73,6.42
1958,8.77,5.62
1959,8.73,6.40
1960,8.58,5.90
1961,8.80,6.46
1962,8.75,5.89
1963,8.86,5.49
